Tank Number,Date,Treatment,Full,Experiment Number,Name,Annotation status,Annotation area,ACfor,Fung,Lobo,Monti,Pcyl,Pryu,Shys,Spis,B_ACfor,B_Fung,B_Lobo,B_Monti,B_Pcyl,B_Pryu,B_Shys,B_Spis,Sarco,Xeni,Zoo,Sand,DSUB,ART,CYAN,Other,Unc,Bry_pen,Caul,CCA,Chl_fas,Dict,Hali,Hyp,Lobph,Macro,Sarg,Turf
10,05-12-14,R,F,3,10_05.12.2014_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,6,0,2,0,0,0,0,0,0,2,1,2,1,8,0,0,0,15,17,12,21,1,0,0,0,0,0,0,0,0,0,11,0,0
1,05-12-14,Y,F,3,1_05.12.2014_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,1,4,6,4,1,4,0,0,2,0,0,0,0,0,0,0,1,0,21,18,17,8,3,0,0,0,0,0,3,0,0,0,5,0,0
11,05-12-14,G,F,3,11_05.12.2014_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,4,0,2,0,1,3,3,0,1,0,0,0,1,1,1,3,3,0,7,21,16,2,2,0,0,0,0,0,2,10,0,0,11,5,0
12,05-12-14,Y,F,3,12_05.12.2014_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,6,2,4,3,3,0,0,0,3,2,1,0,0,4,0,0,0,1,0,36,11,12,2,1,0,0,0,0,0,0,0,0,0,9,0,0
2,05-12-14,G,F,3,2_05.12.2014_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,3,1,4,0,0,4,3,1,0,0,4,0,0,0,0,6,1,0,10,9,14,1,4,0,0,0,0,0,2,10,0,0,21,1,0
3,05-12-14,R,F,3,3_05.12.2014_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,1,1,0,0,0,0,4,2,1,3,1,2,11,4,3,4,0,5,9,16,4,1,0,0,0,0,0,2,5,0,0,19,1,0
4,05-12-14,B,F,3,4_05.12.2014_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,7,2,2,4,0,1,6,2,2,0,0,0,0,0,1,1,4,1,0,19,22,16,5,1,0,0,0,0,0,0,0,0,0,3,1,0
5,05-12-14,B,F,3,5_05.12.2014_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,3,2,3,4,2,2,4,5,0,0,1,0,0,2,0,0,1,0,24,18,18,1,1,0,0,0,1,0,1,0,0,0,6,0,0
6,05-12-14,G,F,3,6_05.12.2014_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,5,2,4,4,2,0,3,1,0,0,1,0,1,2,0,0,1,0,17,26,14,7,2,0,0,0,0,0,0,0,0,0,6,2,0
7,05-12-14,Y,F,3,7_05.12.2014_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,9,2,3,1,2,0,0,0,0,1,0,0,2,1,3,2,1,1,0,19,10,18,1,6,0,0,0,0,0,0,0,0,0,18,0,0
