Date,Tank,Treatment,Temperature,pCO2,Time,O2,Temp,Light,pH,ALK,gCaCO3h-1,gCaCO3h-1m-2,pCO2 (CO2SYS)NBS,DIC (CO2SYS)NBS,CO3 (CO2SYS)NBS,O Ca (CO2SYS)NBS,O Ar (CO2SYS)NBS,AT/DIC,Calcifiers,Photosynthesizers,Prop,Coral,Hali
17-12-14,T4,Blue,PD,PD,7:00,2.23,28.35,99,8.07,2.551,0.248,0.39,602.684,2256.249,218.323,5.194,3.469,1.13063762,33.73493976,33.73493976,Coral,33.73493976,0
17-12-14,T5,Blue,PD,PD,7:00,1.8,27.43,216,8.08,2.596,0.297,0.467,594.088,2298.249,221.546,5.262,3.505,1.129555588,37.34939759,28.91566265,Coral,37.34939759,0
17-12-14,T8,Blue,PD,PD,7:00,1.8,27.08,425,8.06,2.59,0.26,0.409,631.406,2315.066,207.294,4.965,3.299,1.118758601,43.37349397,44.57831325,Coral,40.96385542,1.204819277
17-12-14,T4,Blue,PD,PD,12:00,4.1,30.5,676,8.27,2.694,0.429,0.675,369.876,2244.039,330.62,8.046,5.398,1.200513895,33.73493976,33.73493976,Coral,33.73493976,0
17-12-14,T5,Blue,PD,PD,12:00,2.08,27.1,177,8.23,2.651,0.341,0.536,405.173,2267.885,282.587,6.828,4.53,1.168930523,37.34939759,28.91566265,Coral,37.34939759,0
17-12-14,T8,Blue,PD,PD,12:00,3.63,27.11,541,8.28,2.683,0.409,0.643,350.073,2249.314,316.723,7.586,5.041,1.192808118,43.37349397,44.57831325,Coral,40.96385542,1.204819277
17-12-14,T11,Green,PD,RCP,7:00,2.23,26.82,277,7.91,2.502,0.251,0.395,910.698,2314.795,149.111,3.57,2.37,1.080873252,25.30120482,44.57831326,Algae,18.07228916,18.07228916
17-12-14,T2,Green,PD,RCP,7:00,1.62,26.45,312,7.89,2.457,0.126,0.198,931.934,2277.959,142.243,3.374,2.24,1.078597113,38.55421687,63.85542169,Coral,18.07228915,0
17-12-14,T6,Green,PD,RCP,7:00,1.8,27.02,241,7.88,2.483,0.17,0.267,971.049,2304.286,143.064,3.396,2.259,1.077557213,25.30120481,40.96385542,Coral,21.68674698,7.228915663
17-12-14,T11,Green,PD,RCP,12:00,6.33,26.5,457,8.03,2.519,0.417,0.656,663.814,2270.504,187.733,4.492,2.979,1.109445304,25.30120482,44.57831326,Algae,18.07228916,18.07228916
